Order_ID,Amount,Profit,Quantity,Category,Sub-Category,Payment_Mode,Order_Date,State,City,Year_Month,Customer_Name,Customer_ID,Product_ID,Location_ID,Date_ID,Year-Month,Year,Month,Quarter
OID-10028,5219,1180,20,Office Supplies,Binders,COD,2021-12-17,New York,New York City,2021-12,Alexander Reed,CID-10028,PID-10028,LID-10028,DID-10028,2021-12,2021,12,4
OID-10029,5219,1180,20,Office Supplies,Binders,COD,2023-02-03,California,San Francisco,2023-02,Jacqueline Harris,CID-10029,PID-10029,LID-10029,DID-10029,2023-02,2023,2,1
OID-10030,3686,760,20,Office Supplies,Pens,Debit Card,2022-10-30,California,San Francisco,2022-10,Tyler Park,CID-10030,PID-10030,LID-10030,DID-10030,2022-10,2022,10,4
OID-10031,3686,760,20,Office Supplies,Pens,Debit Card,2022-01-15,Ohio,Columbus,2022-01,Richard Wolfe,CID-10031,PID-10031,LID-10031,DID-10031,2022-01,2022,1,1
OID-10032,6045,1606,4,Office Supplies,Paper,COD,2023-12-14,Florida,Orlando,2023-12,Sierra Rios,CID-10032,PID-10032,LID-10032,DID-10032,2023-12,2023,12,4
OID-10033,9337,554,11,Office Supplies,Pens,COD,2023-12-14,Florida,Orlando,2023-12,Sierra Rios,CID-10033,PID-10033,LID-10033,DID-10033,2023-12,2023,12,4
OID-10034,4051,1848,12,Electronics,Phones,Credit Card,2023-07-03,California,San Diego,2023-07,Jessica Richardson,CID-10034,PID-10034,LID-10034,DID-10034,2023-07,2023,7,3
OID-10035,4051,1848,12,Electronics,Phones,Credit Card,2021-05-08,Ohio,Cincinnati,2021-05,Kimberly Warren,CID-10035,PID-10035,LID-10035,DID-10035,2021-05,2021,5,2
OID-10036,5011,866,11,Furniture,Bookcases,Credit Card,2023-07-03,California,San Diego,2023-07,Jessica Richardson,CID-10036,PID-10036,LID-10036,DID-10036,2023-07,2023,7,3
OID-10037,5011,866,11,Furniture,Bookcases,Credit Card,2021-05-08,Ohio,Cincinnati,2021-05,Kimberly Warren,CID-10037,PID-10037,LID-10037,DID-10037,2021-05,2021,5,2
OID-10038,3958,630,15,Furniture,Sofas,EMI,2022-10-07,Florida,Orlando,2022-10,Casey Garcia,CID-10038,PID-10038,LID-10038,DID-10038,2022-10,2022,10,4
OID-10039,3132,963,1,Furniture,Tables,Debit Card,2022-10-07,Florida,Orlando,2022-10,Casey Garcia,CID-10039,PID-10039,LID-10039,DID-10039,2022-10,2022,10,4
OID-10040,7784,2937,12,Office Supplies,Markers,UPI,2024-08-06,California,San Francisco,2024-08,Denise Hampton,CID-10040,PID-10040,LID-10040,DID-10040,2024-08,2024,8,3
OID-10041,5591,1696,3,Office Supplies,Pens,COD,2024-08-06,California,San Francisco,2024-08,Denise Hampton,CID-10041,PID-10041,LID-10041,DID-10041,2024-08,2024,8,3
OID-10042,5122,2413,12,Electronics,Electronic Games,COD,2024-08-06,California,San Francisco,2024-08,Denise Hampton,CID-10042,PID-10042,LID-10042,DID-10042,2024-08,2024,8,3
OID-10043,8293,2632,8,Office Supplies,Binders,COD,2022-01-05,Ohio,Cleveland,2022-01,Justin Rodriguez,CID-10043,PID-10043,LID-10043,DID-10043,2022-01,2022,1,1
OID-10044,8293,2632,8,Office Supplies,Binders,COD,2020-10-17,New York,Rochester,2020-10,Ms. Emily Baxter,CID-10044,PID-10044,LID-10044,DID-10044,2020-10,2020,10,4
OID-10045,8293,2632,8,Office Supplies,Binders,COD,2023-08-21,California,Los Angeles,2023-08,Austin White,CID-10045,PID-10045,LID-10045,DID-10045,2023-08,2023,8,3
OID-10046,2863,205,17,Electronics,Phones,UPI,2022-01-05,Ohio,Cleveland,2022-01,Justin Rodriguez,CID-10046,PID-10046,LID-10046,DID-10046,2022-01,2022,1,1
OID-10047,2863,205,17,Electronics,Phones,UPI,2020-10-17,New York,Rochester,2020-10,Ms. Emily Baxter,CID-10047,PID-10047,LID-10047,DID-10047,2020-10,2020,10,4
OID-10048,2863,205,17,Electronics,Phones,UPI,2023-08-21,California,Los Angeles,2023-08,Austin White,CID-10048,PID-10048,LID-10048,DID-10048,2023-08,2023,8,3
OID-10049,3090,573,6,Furniture,Tables,EMI,2024-12-27,California,San Diego,2024-12,Morgan Montes,CID-10049,PID-10049,LID-10049,DID-10049,2024-12,2024,12,4
OID-10050,3090,573,6,Furniture,Tables,EMI,2021-06-18,Ohio,Cincinnati,2021-06,Christine Mosley,CID-10050,PID-10050,LID-10050,DID-10050,2021-06,2021,6,2
OID-10051,3090,573,6,Furniture,Tables,EMI,2023-05-27,Texas,Austin,2023-05,Ashley Rodriguez,CID-10051,PID-10051,LID-10051,DID-10051,2023-05,2023,5,2
OID-10052,3090,573,6,Furniture,Tables,EMI,2021-10-12,Texas,Dallas,2021-10,Elizabeth King,CID-10052,PID-10052,LID-10052,DID-10052,2021-10,2021,10,4
OID-10053,9683,1014,5,Electronics,Printers,UPI,2024-12-27,California,San Diego,2024-12,Morgan Montes,CID-10053,PID-10053,LID-10053,DID-10053,2024-12,2024,12,4
OID-10054,9683,1014,5,Electronics,Printers,UPI,2021-06-18,Ohio,Cincinnati,2021-06,Christine Mosley,CID-10054,PID-10054,LID-10054,DID-10054,2021-06,2021,6,2
OID-10055,9683,1014,5,Electronics,Printers,UPI,2023-05-27,Texas,Austin,2023-05,Ashley Rodriguez,CID-10055,PID-10055,LID-10055,DID-10055,2023-05,2023,5,2
OID-10056,9683,1014,5,Electronics,Printers,UPI,2021-10-12,Texas,Dallas,2021-10,Elizabeth King,CID-10056,PID-10056,LID-10056,DID-10056,2021-10,2021,10,4
OID-10057,2463,648,18,Furniture,Tables,EMI,2022-09-19,Ohio,Cincinnati,2022-09,Connie Holmes,CID-10057,PID-10057,LID-10057,DID-10057,2022-09,2022,9,3
OID-10058,7811,1538,12,Furniture,Sofas,COD,2022-03-25,Florida,Miami,2022-03,Melissa Peck,CID-10058,PID-10058,LID-10058,DID-10058,2022-03,2022,3,1
OID-10059,6139,451,10,Furniture,Tables,Debit Card,2022-02-26,Florida,Orlando,2022-02,David Smith,CID-10059,PID-10059,LID-10059,DID-10059,2022-02,2022,2,1
OID-10060,6139,451,10,Furniture,Tables,Debit Card,2021-04-05,Texas,Houston,2021-04,Jacqueline Harris,CID-10060,PID-10060,LID-10060,DID-10060,2021-04,2021,4,2
OID-10061,8636,3192,3,Furniture,Chairs,COD,2022-02-26,Florida,Orlando,2022-02,David Smith,CID-10061,PID-10061,LID-10061,DID-10061,2022-02,2022,2,1
OID-10062,8636,3192,3,Furniture,Chairs,COD,2021-04-05,Texas,Houston,2021-04,Jacqueline Harris,CID-10062,PID-10062,LID-10062,DID-10062,2021-04,2021,4,2
OID-10063,4439,1712,19,Furniture,Sofas,Credit Card,2022-02-26,Florida,Orlando,2022-02,David Smith,CID-10063,PID-10063,LID-10063,DID-10063,2022-02,2022,2,1
OID-10064,4439,1712,19,Furniture,Sofas,Credit Card,2021-04-05,Texas,Houston,2021-04,Jacqueline Harris,CID-10064,PID-10064,LID-10064,DID-10064,2021-04,2021,4,2
OID-10065,1016,172,20,Furniture,Tables,Debit Card,2020-11-16,New York,Buffalo,2020-11,Heather Jenkins,CID-10065,PID-10065,LID-10065,DID-10065,2020-11,2020,11,4
OID-10066,5768,2059,14,Furniture,Tables,UPI,2020-11-16,New York,Buffalo,2020-11,Heather Jenkins,CID-10066,PID-10066,LID-10066,DID-10066,2020-11,2020,11,4
OID-10067,1217,151,3,Furniture,Tables,Credit Card,2020-11-16,New York,Buffalo,2020-11,Heather Jenkins,CID-10067,PID-10067,LID-10067,DID-10067,2020-11,2020,11,4
OID-10068,953,93,2,Office Supplies,Paper,Debit Card,2024-12-12,Ohio,Cleveland,2024-12,Kelsey Castaneda,CID-10068,PID-10068,LID-10068,DID-10068,2024-12,2024,12,4
OID-10069,953,93,2,Office Supplies,Paper,Debit Card,2023-04-06,California,Los Angeles,2023-04,Katherine Harris,CID-10069,PID-10069,LID-10069,DID-10069,2023-04,2023,4,2
OID-10070,7355,1034,3,Furniture,Sofas,COD,2024-12-12,Ohio,Cleveland,2024-12,Kelsey Castaneda,CID-10070,PID-10070,LID-10070,DID-10070,2024-12,2024,12,4
OID-10071,7355,1034,3,Furniture,Sofas,COD,2023-04-06,California,Los Angeles,2023-04,Katherine Harris,CID-10071,PID-10071,LID-10071,DID-10071,2023-04,2023,4,2
OID-10072,1843,248,3,Electronics,Phones,Credit Card,2024-12-12,Ohio,Cleveland,2024-12,Kelsey Castaneda,CID-10072,PID-10072,LID-10072,DID-10072,2024-12,2024,12,4
OID-10073,1843,248,3,Electronics,Phones,Credit Card,2023-04-06,California,Los Angeles,2023-04,Katherine Harris,CID-10073,PID-10073,LID-10073,DID-10073,2023-04,2023,4,2
OID-10074,1603,361,10,Office Supplies,Pens,Debit Card,2024-12-12,Ohio,Cleveland,2024-12,Kelsey Castaneda,CID-10074,PID-10074,LID-10074,DID-10074,2024-12,2024,12,4
OID-10075,1603,361,10,Office Supplies,Pens,Debit Card,2023-04-06,California,Los Angeles,2023-04,Katherine Harris,CID-10075,PID-10075,LID-10075,DID-10075,2023-04,2023,4,2
OID-10076,2025,528,1,Office Supplies,Pens,Credit Card,2024-01-28,Florida,Miami,2024-01,Paul Rogers,CID-10076,PID-10076,LID-10076,DID-10076,2024-01,2024,1,1
OID-10077,6800,167,16,Office Supplies,Binders,EMI,2024-01-28,Florida,Miami,2024-01,Paul Rogers,CID-10077,PID-10077,LID-10077,DID-10077,2024-01,2024,1,1
OID-10078,1126,55,1,Furniture,Bookcases,UPI,2022-01-16,Florida,Tampa,2022-01,Jon Banks,CID-10078,PID-10078,LID-10078,DID-10078,2022-01,2022,1,1
OID-10079,1126,55,1,Furniture,Bookcases,UPI,2022-12-16,New York,Buffalo,2022-12,Michelle Williams,CID-10079,PID-10079,LID-10079,DID-10079,2022-12,2022,12,4
OID-10080,7533,3508,12,Furniture,Tables,UPI,2023-07-13,California,San Diego,2023-07,Andrew Allen,CID-10080,PID-10080,LID-10080,DID-10080,2023-07,2023,7,3
OID-10081,4734,1178,16,Office Supplies,Binders,Credit Card,2023-07-13,California,San Diego,2023-07,Andrew Allen,CID-10081,PID-10081,LID-10081,DID-10081,2023-07,2023,7,3
OID-10082,4074,1175,6,Electronics,Electronic Games,Debit Card,2023-07-13,California,San Diego,2023-07,Andrew Allen,CID-10082,PID-10082,LID-10082,DID-10082,2023-07,2023,7,3
OID-10083,2334,484,3,Furniture,Sofas,Credit Card,2023-07-13,California,San Diego,2023-07,Andrew Allen,CID-10083,PID-10083,LID-10083,DID-10083,2023-07,2023,7,3
OID-10084,2750,1239,11,Electronics,Phones,Debit Card,2025-03-10,New York,Buffalo,2025-03,Vanessa Bauer,CID-10084,PID-10084,LID-10084,DID-10084,2025-03,2025,3,1
OID-10085,2750,1239,11,Electronics,Phones,Debit Card,2024-09-24,Ohio,Cleveland,2024-09,Sean Smith,CID-10085,PID-10085,LID-10085,DID-10085,2024-09,2024,9,3
OID-10086,8639,3104,19,Office Supplies,Pens,EMI,2025-03-10,New York,Buffalo,2025-03,Vanessa Bauer,CID-10086,PID-10086,LID-10086,DID-10086,2025-03,2025,3,1
OID-10087,8639,3104,19,Office Supplies,Pens,EMI,2024-09-24,Ohio,Cleveland,2024-09,Sean Smith,CID-10087,PID-10087,LID-10087,DID-10087,2024-09,2024,9,3
OID-10088,3808,1192,4,Office Supplies,Markers,UPI,2020-04-13,New York,New York City,2020-04,Shelly Sweeney,CID-10088,PID-10088,LID-10088,DID-10088,2020-04,2020,4,2
OID-10089,2588,705,16,Office Supplies,Pens,Credit Card,2020-04-13,New York,New York City,2020-04,Shelly Sweeney,CID-10089,PID-10089,LID-10089,DID-10089,2020-04,2020,4,2
OID-10090,1591,727,5,Electronics,Electronic Games,Credit Card,2022-06-27,Illinois,Springfield,2022-06,Emily Gill,CID-10090,PID-10090,LID-10090,DID-10090,2022-06,2022,6,2
OID-10091,1591,727,5,Electronics,Electronic Games,Credit Card,2021-03-14,Florida,Tampa,2021-03,Brian Patrick,CID-10091,PID-10091,LID-10091,DID-10091,2021-03,2021,3,1
OID-10092,1591,727,5,Electronics,Electronic Games,Credit Card,2022-02-23,Ohio,Cincinnati,2022-02,Dr. Sarah Booth,CID-10092,PID-10092,LID-10092,DID-10092,2022-02,2022,2,1
OID-10093,1757,622,10,Furniture,Chairs,UPI,2022-03-29,Ohio,Cleveland,2022-03,Douglas Mcfarland,CID-10093,PID-10093,LID-10093,DID-10093,2022-03,2022,3,1
OID-10094,1757,622,10,Furniture,Chairs,UPI,2022-11-20,Illinois,Peoria,2022-11,Kayla Ross,CID-10094,PID-10094,LID-10094,DID-10094,2022-11,2022,11,4
OID-10095,6940,253,15,Furniture,Bookcases,Debit Card,2021-11-12,Florida,Orlando,2021-11,Marc Strickland,CID-10095,PID-10095,LID-10095,DID-10095,2021-11,2021,11,4
OID-10096,5105,465,5,Electronics,Printers,UPI,2021-11-12,Florida,Orlando,2021-11,Marc Strickland,CID-10096,PID-10096,LID-10096,DID-10096,2021-11,2021,11,4
OID-10097,5578,277,16,Furniture,Tables,COD,2021-08-17,Florida,Miami,2021-08,Charlene Brown,CID-10097,PID-10097,LID-10097,DID-10097,2021-08,2021,8,3
OID-10098,5578,277,16,Furniture,Tables,COD,2022-05-16,Ohio,Columbus,2022-05,Charles Smith,CID-10098,PID-10098,LID-10098,DID-10098,2022-05,2022,5,2
OID-10099,5224,1958,16,Furniture,Chairs,Credit Card,2023-07-16,Texas,Houston,2023-07,Karen Townsend,CID-10099,PID-10099,LID-10099,DID-10099,2023-07,2023,7,3
OID-10100,5002,1801,11,Office Supplies,Markers,Credit Card,2023-07-16,Texas,Houston,2023-07,Karen Townsend,CID-10100,PID-10100,LID-10100,DID-10100,2023-07,2023,7,3
OID-10101,7380,1673,18,Office Supplies,Markers,COD,2023-07-16,Texas,Houston,2023-07,Karen Townsend,CID-10101,PID-10101,LID-10101,DID-10101,2023-07,2023,7,3
OID-10102,7595,2873,4,Furniture,Chairs,Debit Card,2020-08-18,California,Los Angeles,2020-08,Steven Cox,CID-10102,PID-10102,LID-10102,DID-10102,2020-08,2020,8,3
OID-10103,7595,2873,4,Furniture,Chairs,Debit Card,2022-04-19,New York,Rochester,2022-04,Cynthia Rodriguez,CID-10103,PID-10103,LID-10103,DID-10103,2022-04,2022,4,2
OID-10104,1954,294,7,Furniture,Sofas,Debit Card,2022-12-23,Texas,Austin,2022-12,Jessica Baker,CID-10104,PID-10104,LID-10104,DID-10104,2022-12,2022,12,4
OID-10105,523,95,20,Electronics,Printers,EMI,2024-12-07,Texas,Dallas,2024-12,Mark Blackburn,CID-10105,PID-10105,LID-10105,DID-10105,2024-12,2024,12,4
OID-10106,5704,714,13,Electronics,Laptops,EMI,2022-02-03,Texas,Austin,2022-02,Zachary Perez,CID-10106,PID-10106,LID-10106,DID-10106,2022-02,2022,2,1
OID-10107,5704,714,13,Electronics,Laptops,EMI,2021-12-12,California,San Diego,2021-12,Brian Green,CID-10107,PID-10107,LID-10107,DID-10107,2021-12,2021,12,4
OID-10108,8797,1010,8,Furniture,Tables,UPI,2022-02-03,Texas,Austin,2022-02,Zachary Perez,CID-10108,PID-10108,LID-10108,DID-10108,2022-02,2022,2,1
OID-10109,8797,1010,8,Furniture,Tables,UPI,2021-12-12,California,San Diego,2021-12,Brian Green,CID-10109,PID-10109,LID-10109,DID-10109,2021-12,2021,12,4
OID-10110,9236,2899,5,Electronics,Laptops,Debit Card,2022-02-03,Texas,Austin,2022-02,Zachary Perez,CID-10110,PID-10110,LID-10110,DID-10110,2022-02,2022,2,1
OID-10111,9236,2899,5,Electronics,Laptops,Debit Card,2021-12-12,California,San Diego,2021-12,Brian Green,CID-10111,PID-10111,LID-10111,DID-10111,2021-12,2021,12,4
OID-10112,9109,586,17,Furniture,Sofas,EMI,2020-05-17,Florida,Miami,2020-05,Becky Leach,CID-10112,PID-10112,LID-10112,DID-10112,2020-05,2020,5,2
OID-10113,4358,526,19,Electronics,Phones,Credit Card,2022-12-05,Texas,Dallas,2022-12,Bryan Russell,CID-10113,PID-10113,LID-10113,DID-10113,2022-12,2022,12,4
OID-10114,4358,526,19,Electronics,Phones,Credit Card,2024-09-17,California,San Francisco,2024-09,Tony Maddox,CID-10114,PID-10114,LID-10114,DID-10114,2024-09,2024,9,3
OID-10115,6459,825,8,Electronics,Phones,Credit Card,2022-12-05,Texas,Dallas,2022-12,Bryan Russell,CID-10115,PID-10115,LID-10115,DID-10115,2022-12,2022,12,4
OID-10116,6459,825,8,Electronics,Phones,Credit Card,2024-09-17,California,San Francisco,2024-09,Tony Maddox,CID-10116,PID-10116,LID-10116,DID-10116,2024-09,2024,9,3
OID-10117,2478,92,12,Furniture,Bookcases,COD,2023-05-08,California,San Francisco,2023-05,Jason Randolph,CID-10117,PID-10117,LID-10117,DID-10117,2023-05,2023,5,2
OID-10118,2478,92,12,Furniture,Bookcases,COD,2021-03-03,New York,New York City,2021-03,Laura Andrews,CID-10118,PID-10118,LID-10118,DID-10118,2021-03,2021,3,1
OID-10119,2478,92,12,Furniture,Bookcases,COD,2021-03-18,California,San Francisco,2021-03,Mrs. Stephanie Hooper,CID-10119,PID-10119,LID-10119,DID-10119,2021-03,2021,3,1
OID-10120,2478,92,12,Furniture,Bookcases,COD,2023-04-24,Ohio,Cleveland,2023-04,Anthony Evans,CID-10120,PID-10120,LID-10120,DID-10120,2023-04,2023,4,2
OID-10121,9992,3696,20,Office Supplies,Pens,Debit Card,2021-10-09,New York,Rochester,2021-10,Patrick Williams,CID-10121,PID-10121,LID-10121,DID-10121,2021-10,2021,10,4
OID-10122,9992,3696,20,Office Supplies,Pens,Debit Card,2022-04-15,Texas,Austin,2022-04,Susan Burke,CID-10122,PID-10122,LID-10122,DID-10122,2022-04,2022,4,2
OID-10123,9992,3696,20,Office Supplies,Pens,Debit Card,2022-08-29,New York,Rochester,2022-08,Brent Hernandez,CID-10123,PID-10123,LID-10123,DID-10123,2022-08,2022,8,3
OID-10124,9619,3420,7,Office Supplies,Binders,UPI,2021-10-09,New York,Rochester,2021-10,Patrick Williams,CID-10124,PID-10124,LID-10124,DID-10124,2021-10,2021,10,4
OID-10125,9619,3420,7,Office Supplies,Binders,UPI,2022-04-15,Texas,Austin,2022-04,Susan Burke,CID-10125,PID-10125,LID-10125,DID-10125,2022-04,2022,4,2
OID-10126,9619,3420,7,Office Supplies,Binders,UPI,2022-08-29,New York,Rochester,2022-08,Brent Hernandez,CID-10126,PID-10126,LID-10126,DID-10126,2022-08,2022,8,3
OID-10127,9538,3158,20,Electronics,Printers,Credit Card,2024-09-04,California,San Francisco,2024-09,Sean Elliott,CID-10127,PID-10127,LID-10127,DID-10127,2024-09,2024,9,3
OID-10128,9538,3158,20,Electronics,Printers,Credit Card,2021-05-18,Ohio,Cleveland,2021-05,Wanda West,CID-10128,PID-10128,LID-10128,DID-10128,2021-05,2021,5,2
OID-10129,9035,1227,14,Furniture,Chairs,EMI,2024-09-04,California,San Francisco,2024-09,Sean Elliott,CID-10129,PID-10129,LID-10129,DID-10129,2024-09,2024,9,3
OID-10130,9035,1227,14,Furniture,Chairs,EMI,2021-05-18,Ohio,Cleveland,2021-05,Wanda West,CID-10130,PID-10130,LID-10130,DID-10130,2021-05,2021,5,2
OID-10131,2684,670,2,Office Supplies,Paper,COD,2024-07-02,Florida,Tampa,2024-07,Renee Solomon,CID-10131,PID-10131,LID-10131,DID-10131,2024-07,2024,7,3
OID-10132,822,147,5,Furniture,Sofas,Credit Card,2024-07-02,Florida,Tampa,2024-07,Renee Solomon,CID-10132,PID-10132,LID-10132,DID-10132,2024-07,2024,7,3
OID-10133,9730,2341,2,Furniture,Chairs,EMI,2024-07-02,Florida,Tampa,2024-07,Renee Solomon,CID-10133,PID-10133,LID-10133,DID-10133,2024-07,2024,7,3
OID-10134,2483,236,2,Electronics,Electronic Games,COD,2024-07-02,Florida,Tampa,2024-07,Renee Solomon,CID-10134,PID-10134,LID-10134,DID-10134,2024-07,2024,7,3
OID-10135,1297,600,7,Office Supplies,Binders,Credit Card,2024-02-16,Florida,Orlando,2024-02,Daryl Miles,CID-10135,PID-10135,LID-10135,DID-10135,2024-02,2024,2,1
OID-10136,7909,1942,19,Electronics,Phones,COD,2024-02-16,Florida,Orlando,2024-02,Daryl Miles,CID-10136,PID-10136,LID-10136,DID-10136,2024-02,2024,2,1
OID-10137,9768,4518,8,Furniture,Tables,Credit Card,2021-11-26,Texas,Dallas,2021-11,Michael Hunt,CID-10137,PID-10137,LID-10137,DID-10137,2021-11,2021,11,4
OID-10138,4968,934,5,Furniture,Sofas,Debit Card,2021-11-26,Texas,Dallas,2021-11,Michael Hunt,CID-10138,PID-10138,LID-10138,DID-10138,2021-11,2021,11,4
OID-10139,1731,149,4,Electronics,Laptops,EMI,2021-11-26,Texas,Dallas,2021-11,Michael Hunt,CID-10139,PID-10139,LID-10139,DID-10139,2021-11,2021,11,4
OID-10140,3433,1169,10,Office Supplies,Binders,COD,2024-02-01,California,San Francisco,2024-02,Adam Clark,CID-10140,PID-10140,LID-10140,DID-10140,2024-02,2024,2,1
OID-10141,3433,1169,10,Office Supplies,Binders,COD,2021-09-09,Illinois,Springfield,2021-09,Amy Olsen,CID-10141,PID-10141,LID-10141,DID-10141,2021-09,2021,9,3
OID-10142,3433,1169,10,Office Supplies,Binders,COD,2021-09-08,California,San Diego,2021-09,Stacey Miller,CID-10142,PID-10142,LID-10142,DID-10142,2021-09,2021,9,3
OID-10143,3887,1490,1,Office Supplies,Binders,Debit Card,2024-02-01,California,San Francisco,2024-02,Adam Clark,CID-10143,PID-10143,LID-10143,DID-10143,2024-02,2024,2,1
OID-10144,3887,1490,1,Office Supplies,Binders,Debit Card,2021-09-09,Illinois,Springfield,2021-09,Amy Olsen,CID-10144,PID-10144,LID-10144,DID-10144,2021-09,2021,9,3
OID-10145,3887,1490,1,Office Supplies,Binders,Debit Card,2021-09-08,California,San Diego,2021-09,Stacey Miller,CID-10145,PID-10145,LID-10145,DID-10145,2021-09,2021,9,3
OID-10146,1801,641,20,Office Supplies,Markers,Credit Card,2024-07-09,California,Los Angeles,2024-07,Daniel Mosley,CID-10146,PID-10146,LID-10146,DID-10146,2024-07,2024,7,3
OID-10147,5301,817,10,Furniture,Tables,Debit Card,2024-07-09,California,Los Angeles,2024-07,Daniel Mosley,CID-10147,PID-10147,LID-10147,DID-10147,2024-07,2024,7,3
